Cranor et al	1999
Graeff & Harmon	2002
Turow	2003
Milne & Culnan	2004
Dinev & Hart	2005
Govani & Pashley	2005
Jensen et al	2005
Acquisti & Gross	2006
Drennan et al	2006
Dwyer et al	2007
Paine et al	2007
Yao et al	2007
Xu et al	2008
Debatin et al	2009
Tuunainen et al	2009
Youn	2009
Young & Quan-Haase	2009
Banks et al	2010
Hoofnagle et al	2010
Kisilevich & Mansmann	2010
McKnight et al	2010
Mesch	2010
Posey et al	2010
Potzch et al	2010
Bateman et al	2011
Liu et al	2011
Park	2011
Reynolds et al	2011
Stutzman et al	2011
Veltri et al	2011
Wills & Zeljkovic	2011
Collins et al	2012
Johnson et al	2012
Lawler et al	2012
Lin & Liu	2012
Madejski et al	2012
Park et al	2012
Pitkanen et al	2012
Staddon et al	2012
Torres	2012
Hazari & Brown	2013
Heirman et al	2013
Jiang et al	2013
Keith et al	2013
Litt	2013
Coventry et al	2014
DeWolf et al	2014
Dienlin & Trepte	2014
Doherty & Lang	2014
Feng & Xie	2014
Garg et al	2014
Moll et al	2014
Orito et al	2014
Taddicken	2014
Benson et al	2015
Dong et al	2015
Hossain & Zhang	2015
Miltgen & Smith	2015
Zlatolas et al	2015
Bartsch & Dienlin	2016
Buchi et al	2016
Golbeck & Mauriello	2016
Hajli & Lin	2016
Kezer et al	2016
Malik et al	2016
Steijn et al	2016
Millham & Atkin	2016
Ozdemir et al	2017
Fox & Royne	2018
Krasnova & Kift	2012b